Orthogroup	HCH_F_1	HCH_F_2	HCH_F_3	HCH_F_4	HCH_F_5	HCH_M_1	HCH_M_2	HCH_M_3	HCH_M_4	HCH_M_5	HCH_M_6	HDO_F_1	HDO_F_2	HDO_F_3	HDO_F_4	HDO_F_5	HDO_F_6	HDO_M_1	HDO_M_2	HDO_M_3	HDO_M_4	HDO_M_5	HDO_M_6	HSA_F_1	HSA_F_2	HSA_F_3	HSA_F_4	HSA_F_5	HSA_M_1	HSA_M_2	HSA_M_3	HSA_M_4	HSA_M_5	HSA_M_6	HER_F_1	HER_F_2	HER_F_3	HER_M_1	HER_M_2	HER_M_3	HME_F_1	HME_F_2	HME_M_1	HME_M_2
OG0019478	1.23	0.71	1.23	0	0.15	0.85	1.25	0	1.65	0.68	1.3	2.95	4.3	1.56	5.5	2.38	1.78	1.5	2.58	3.06	3.84	3.4	3.3	0.78	0.46	1.15	0.64	0.66	1.34	0.58	0.95	0.9	1.05	0.16	2.84	0.8	0.5	0.86	0.44	3.54	0	0	0	0
OG0019480	0.57	1.73	0.9	1.33	0.86	0.95	2.33	3.61	2.7	2.4	2.03	2.78	1.56	3.38	1.98	2.63	1.55	2.36	2.28	2.77	3.4	1.87	2.09	1.32	0.31	1.38	0.87	1.07	0.55	1.17	1.1	0.61	0.89	0.66	0	2.78	0.02	0	0	2.15	1.43	1.32	1.04	1.35
OG0019481	7.19	8.66	9.31	6.96	6.46	10.38	9.82	7.75	5.15	10.54	14.33	5.93	2.69	5.34	2.81	6.78	2.62	3.93	6	3.32	4.24	3.7	4.56	7.66	5.84	6.37	4.92	6.56	6.34	5.53	5.74	10.7	6.04	6.66	25.99	23.33	13.39	18.02	2.25	19.38	6.96	12.37	9.09	3.95
OG0019483	7.15	8.74	7.59	3.91	5.99	6.17	4.52	5.97	4.89	6.19	9.78	12.28	8.96	7.69	9.51	11.18	7.6	8.14	11.67	8.58	7.45	8.24	8.79	6.29	5.98	5.55	9.5	8.42	4.89	6.27	3.17	4.77	7.16	9.48	33.02	35.48	19.09	22.79	16.33	28.11	31.24	25.93	18.37	16.31
OG0019484	1.62	2.26	0.72	1.64	1.13	0.72	1.9	0.96	8.82	2.17	5.51	11	8.19	9.2	12.68	5.87	12.25	3.34	10.26	6.99	5.43	13.5	11.37	4.4	15.55	18.44	6.24	2.9	6.49	10.37	16.81	7.28	7.65	7.74	1.35	0	0.47	1.17	0	2.9	1.12	1.25	0.61	0.64
OG0019485	1.58	3.66	5.87	2.66	3.91	2.92	2.37	3.71	1.77	2.65	6	2.41	4.17	2.94	2.02	2.62	2.53	4.33	2.08	2.77	2.1	2.29	4.86	7.02	5.56	8.32	7.02	3.89	2.28	3.03	7.73	3.83	4.96	4.08	3.67	21.24	2.83	2.91	5.3	3.54	2.38	6.59	1.29	8.1
OG0019489	3.96	4.19	5.53	0.95	3.07	4.38	5.33	1.88	5.49	0.32	4.43	0.66	1.94	2.73	1.28	2.06	1.3	1.94	1.56	3.04	0.95	0.9	1.02	3.14	0.98	1.09	4.39	2.82	1.16	0.62	0.87	1.7	0.56	1.04	0	0	0	0.38	0	0	0	0	0.79	0.83
OG0019491	7.34	8.27	9.81	5.18	11.34	5.67	7.23	6.89	8.2	11.24	12.6	4.11	2.91	4.26	3.54	5.83	2.9	7.03	5.33	2.53	4.66	4.13	3.75	8.75	6.76	7.11	7.65	7.01	4.99	7.11	8.36	6.88	5.12	8.72	22.83	18.8	13.18	14.9	6.56	9.92	9.76	8.79	14.65	8.39
OG0019494	0.29	1.32	1.02	1.44	0	0	0.26	0.21	2.3	1.28	0.81	2.01	1.8	2.38	1.98	1.34	2.53	1.53	2.3	2.13	1.97	2.33	1.34	1.65	1.72	0.96	0.72	0.74	3.8	2.7	3.31	2.12	2.46	0.3	3.01	4.74	4.88	6.85	3.92	4.04	0.46	2.53	0.5	0.52
OG0019495	24.99	20.27	19.02	14.61	12.16	22.38	24.52	17.76	21.02	10.15	10.55	26.45	23.1	22.21	16.05	20.79	19.13	31.02	26.7	25.02	18.66	22.51	18.51	18.08	18.54	21.46	15.08	19.17	23.54	30.73	15.97	26.85	27.53	21.15	26.93	21.68	32.35	25.3	51.69	25	14.44	15.47	5.61	5.27
OG0019498	12.6	6.6	15.66	5.29	20.58	15.79	12.38	13.34	16.27	11.75	10.22	37.43	21.61	23.82	17.93	18.35	23.98	11.04	20.1	30.71	25.44	23.14	26.91	24.72	23.7	22.08	31.64	34.66	14.21	14.84	49.24	23.51	22.14	12.94	19.1	27.7	39.9	5.41	33.89	15.68	0	7.94	9.68	9.4
OG0019499	10.2	11.27	14.5	10.95	9.25	10.83	9.78	12.53	9.76	5.81	11.1	14.1	17.91	16.51	16.63	18.36	17.33	17.41	14.74	17.01	17.56	18.13	14.5	18.64	21.49	17.48	17.57	22.24	24.86	23.43	20.8	23.49	27.57	9.13	5.31	4.23	2.83	1.08	3.51	4.8	6.8	3.77	2.96	3.86
OG0019500	81.53	93.62	76.44	58.64	91.5	85.36	89.41	92.82	86.72	81.35	73.1	113.52	94.72	118.02	97.27	92.9	121.23	92.08	107.43	115.29	115.09	122.74	94.96	93.49	89.99	107.24	103.57	92.01	90.68	99.81	103.15	82.61	97.52	81.59	25.05	18.71	65.98	79.74	95.12	74.76	78.28	70.66	93.97	75.71
